City Name,Type,Package,Variety,Sub Variety,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Unit of Sale,Repack,Unnamed: 25,mean_price,month,weekday,City Name_encoded,Type_encoded,Package_encoded,Variety_encoded,Sub Variety_encoded,Origin_encoded,Origin District_encoded,Item Size_encoded,Color_encoded,Unit of Sale_encoded,Repack_encoded,Unnamed: 25_encoded
BALTIMORE,,24 inch bins,,,270.0,280.0,270.0,280.0,MARYLAND,,lge,,,E,,275.0,4,5,1,-1,5,-1,-1,8,-1,2,-1,-1,0,-1
BALTIMORE,,24 inch bins,,,270.0,280.0,270.0,280.0,MARYLAND,,lge,,,E,,275.0,5,5,1,-1,5,-1,-1,8,-1,2,-1,-1,0,-1
BALTIMORE,,24 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,DELAWARE,,med,ORANGE,,N,,160.0,9,5,1,-1,5,4,-1,4,-1,3,0,-1,1,-1
BALTIMORE,,24 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,VIRGINIA,,med,ORANGE,,N,,160.0,9,5,1,-1,5,4,-1,22,-1,3,0,-1,1,-1
BALTIMORE,,24 inch bins,HOWDEN TYPE,,90.0,100.0,90.0,100.0,MARYLAND,,lge,ORANGE,,N,,95.0,11,5,1,-1,5,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,24 inch bins,HOWDEN TYPE,,90.0,100.0,90.0,100.0,MARYLAND,,lge,ORANGE,,N,,95.0,11,5,1,-1,5,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,170.0,160.0,170.0,MARYLAND,,med,ORANGE,,N,,165.0,9,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,PENNSYLVANIA,,lge,ORANGE,,N,,160.0,9,5,1,-1,7,4,-1,18,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,170.0,160.0,170.0,MARYLAND,,med,ORANGE,,N,,165.0,10,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,PENNSYLVANIA,,lge,ORANGE,,N,,160.0,10,5,1,-1,7,4,-1,18,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,170.0,160.0,170.0,MARYLAND,,med,ORANGE,,N,,165.0,10,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,PENNSYLVANIA,,lge,ORANGE,,N,,160.0,10,5,1,-1,7,4,-1,18,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,150.0,160.0,150.0,160.0,MARYLAND,,lge,ORANGE,,N,,155.0,10,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,150.0,170.0,150.0,170.0,MARYLAND,,med,ORANGE,,N,,160.0,10,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,150.0,160.0,150.0,160.0,MARYLAND,,lge,ORANGE,,N,,155.0,10,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,140.0,160.0,140.0,160.0,MARYLAND,,med,ORANGE,,N,,150.0,10,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,100.0,160.0,100.0,160.0,MARYLAND,,lge,ORANGE,,N,,130.0,10,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,130.0,160.0,130.0,160.0,MARYLAND,,med,ORANGE,,N,,145.0,10,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,130.0,130.0,130.0,130.0,MARYLAND,,sml,ORANGE,,N,,130.0,10,5,1,-1,7,4,-1,8,-1,5,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,120.0,130.0,120.0,130.0,MARYLAND,,xlge,ORANGE,,N,,125.0,11,5,1,-1,7,4,-1,8,-1,6,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,100.0,130.0,100.0,130.0,MARYLAND,,lge,ORANGE,,N,,115.0,11,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,90.0,100.0,90.0,100.0,MARYLAND,,med,ORANGE,,N,,95.0,11,5,1,-1,7,4,-1,8,-1,3,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,100.0,120.0,100.0,100.0,MARYLAND,,lge,ORANGE,,N,,110.0,11,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,MARYLAND,,med-lge,ORANGE,,N,,160.0,9,5,1,-1,7,4,-1,8,-1,4,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,160.0,160.0,160.0,160.0,MARYLAND,,med-lge,ORANGE,,N,,160.0,9,5,1,-1,7,4,-1,8,-1,4,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,150.0,160.0,150.0,160.0,MARYLAND,,lge,ORANGE,,N,,155.0,9,5,1,-1,7,4,-1,8,-1,2,0,-1,1,-1
BALTIMORE,,36 inch bins,HOWDEN TYPE,,150.0,160.0,150.0,160.0,MARYLAND,,med-lge,ORANGE,,N,,155.0,9,5,1,-1,7,4,-1,8,-1,4,0,-1,1,-1
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,160.0,180.0,160.0,180.0,MARYLAND,,med,,,N,,170.0,9,5,1,-1,5,5,-1,8,-1,3,-1,-1,1,-1
BALTIMORE,,24 inch bins,HOWDEN WHITE TYPE,,180.0,180.0,180.0,180.0,MARYLAND,,med,,,N,,180.0,9,5,1,-1,5,5,-1,8,-1,3,-1,-1,1,-1
BALTIMORE,,24 inch bins,CINDERELLA,,380.0,380.0,380.0,380.0,,,xlge,,,E,,380.0,6,5,1,-1,5,2,-1,-1,-1,6,-1,-1,0,-1
