City Name,Package,Variety,Origin,Item Size,Date,City Name,Package,Variety,Origin,Item Size,Color,year,month,真实价格,预测价格,误差(预测-真实)
ATLANTA,24 inch bins,PIE TYPE,NORTH CAROLINA,sml,11/12/16,0.0,5.0,9.0,16.0,5.0,0.0,2016,11,129.25,135.97858258626928,6.728582586269283
CHICAGO,1 1/9 bushel cartons,PIE TYPE,ILLINOIS,med,8/26/17,3.0,0.0,9.0,6.0,3.0,0.0,2017,8,20.0,21.90984471431882,1.9098447143188189
BOSTON,36 inch bins,BIG MACK TYPE,PENNSYLVANIA,xlge,9/23/17,2.0,7.0,0.0,18.0,6.0,0.0,2017,9,187.5,193.16267730447856,5.662677304478564
NEW YORK,1/2 bushel cartons,MINIATURE,OHIO,sml,10/1/16,9.0,2.0,7.0,17.0,5.0,2.0,2016,10,20.0,18.901898182069452,-1.098101817930548
PHILADELPHIA,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,med-lge,10/1/16,10.0,7.0,4.0,18.0,4.0,0.0,2016,10,140.0,124.53404221233782,-15.465957787662177
BOSTON,1/2 bushel cartons,MINIATURE,MASSACHUSETTS,sml,10/8/16,2.0,2.0,7.0,9.0,5.0,0.0,2016,10,16.5,16.64640650167689,0.14640650167688918
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,CALIFORNIA,med,11/12/16,11.0,5.0,4.0,1.0,3.0,0.0,2016,11,115.0,134.37091709544683,19.370917095446828
CHICAGO,1 1/9 bushel cartons,PIE TYPE,ILLINOIS,med,10/1/16,3.0,0.0,9.0,6.0,3.0,0.0,2016,10,17.5,19.354941782380042,1.8549417823800418
LOS ANGELES,24 inch bins,FAIRYTALE,CALIFORNIA,,10/8/16,7.0,5.0,3.0,1.0,5.0,0.0,2016,10,0.24,12.19957684577006,11.95957684577006
CHICAGO,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,10/15/16,3.0,7.0,4.0,11.0,2.0,0.0,2016,10,130.0,133.0690597870722,3.069059787072206
ST. LOUIS,22 lb cartons,MINIATURE,ILLINOIS,,9/30/16,12.0,4.0,7.0,6.0,5.0,0.0,2016,9,10.75,10.594237868399604,-0.15576213160039565
NEW YORK,1 1/9 bushel crates,MINIATURE,NEW YORK,sml,10/8/16,9.0,1.0,7.0,15.0,5.0,0.0,2016,10,18.0,20.72468045564815,2.7246804556481514
BOSTON,36 inch bins,HOWDEN TYPE,CANADA,lge,10/29/16,2.0,7.0,4.0,2.0,2.0,0.0,2016,10,170.0,165.528025681948,-4.471974318051991
BALTIMORE,24 inch bins,FAIRYTALE,MARYLAND,xlge,10/1/16,1.0,5.0,3.0,8.0,6.0,0.0,2016,10,255.0,235.42254674907213,-19.577453250927874
SAN FRANCISCO,24 inch bins,BIG MACK TYPE,CALIFORNIA,,10/22/16,11.0,5.0,0.0,1.0,5.0,0.0,2016,10,140.0,161.93163922060347,21.931639220603472
