City Name,Package,Variety,Origin,Item Size,Date,City Name,Package,Variety,Origin,Item Size,Color,year,month,真实价格,预测价格,误差(预测-真实)
ATLANTA,24 inch bins,PIE TYPE,NORTH CAROLINA,sml,11/12/16,0.0,5.0,9.0,16.0,5.0,0.0,2016,11,129.25,129.41936,0.1693572998046875
CHICAGO,1 1/9 bushel cartons,PIE TYPE,ILLINOIS,med,8/26/17,3.0,0.0,9.0,6.0,3.0,0.0,2017,8,20.0,19.720957,-0.27904319763183594
BOSTON,36 inch bins,BIG MACK TYPE,PENNSYLVANIA,xlge,9/23/17,2.0,7.0,0.0,18.0,6.0,0.0,2017,9,187.5,187.63617,0.13616943359375
NEW YORK,1/2 bushel cartons,MINIATURE,OHIO,sml,10/1/16,9.0,2.0,7.0,17.0,5.0,2.0,2016,10,20.0,18.90569,-1.0943107604980469
PHILADELPHIA,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,med-lge,10/1/16,10.0,7.0,4.0,18.0,4.0,0.0,2016,10,140.0,131.7357,-8.264297485351562
BOSTON,1/2 bushel cartons,MINIATURE,MASSACHUSETTS,sml,10/8/16,2.0,2.0,7.0,9.0,5.0,0.0,2016,10,16.5,16.665499,0.1654987335205078
SAN FRANCISCO,24 inch bins,HOWDEN TYPE,CALIFORNIA,med,11/12/16,11.0,5.0,4.0,1.0,3.0,0.0,2016,11,115.0,111.585526,-3.4144744873046875
CHICAGO,1 1/9 bushel cartons,PIE TYPE,ILLINOIS,med,10/1/16,3.0,0.0,9.0,6.0,3.0,0.0,2016,10,17.5,19.90743,2.407430648803711
LOS ANGELES,24 inch bins,FAIRYTALE,CALIFORNIA,,10/8/16,7.0,5.0,3.0,1.0,5.0,0.0,2016,10,0.24,2.5119812,2.2719812488555906
CHICAGO,36 inch bins,HOWDEN TYPE,MICHIGAN,lge,10/15/16,3.0,7.0,4.0,11.0,2.0,0.0,2016,10,130.0,131.92206,1.92205810546875
